pts,position,player
225,289,"{'id': 40789, 'name': 'James Davis', 'birthday': '1998-12-10T00:00:00.000Z', 'countryAcr': 'GBR', 'country': {'name': 'Great Britain', 'acronym': 'GBR'}}"
222,290,"{'id': 17123, 'name': 'Mitchell Krueger', 'birthday': '1994-01-12T00:00:00.000Z', 'countryAcr': 'USA', 'country': {'name': 'United States', 'acronym': 'USA'}}"
222,291,"{'id': 96517, 'name': 'Gianluca Cadenasso', 'birthday': '2004-09-29T00:00:00.000Z', 'countryAcr': 'ITA', 'country': {'name': 'Italy', 'acronym': 'ITA'}}"
221,292,"{'id': 44217, 'name': 'Eduardo Ribeiro', 'birthday': '1998-03-17T00:00:00.000Z', 'countryAcr': 'BRA', 'country': {'name': 'Brazil', 'acronym': 'BRA'}}"
221,293,"{'id': 40382, 'name': 'Damien Wenger', 'birthday': '2000-03-17T00:00:00.000Z', 'countryAcr': 'SUI', 'country': {'name': 'Switzerland', 'acronym': 'SUI'}}"
220,294,"{'id': 67981, 'name': 'Andrew Paulson', 'birthday': '2001-11-16T00:00:00.000Z', 'countryAcr': 'CZE', 'country': {'name': 'Czech Republic', 'acronym': 'CZE'}}"
219,295,"{'id': 45300, 'name': 'Aziz Ouakaa', 'birthday': '1999-08-07T00:00:00.000Z', 'countryAcr': 'TUN', 'country': {'name': 'Tunisia', 'acronym': 'TUN'}}"
217,296,"{'id': 46960, 'name': 'Roy Stepanov', 'birthday': '1999-06-02T00:00:00.000Z', 'countryAcr': 'ISR', 'country': {'name': 'Israel', 'acronym': 'ISR'}}"
216,297,"{'id': 62465, 'name': 'Cannon Kingsley', 'birthday': '2001-05-06T00:00:00.000Z', 'countryAcr': 'USA', 'country': {'name': 'United States', 'acronym': 'USA'}}"
216,298,"{'id': 33947, 'name': 'Grigoriy Lomakin', 'birthday': '1998-03-18T00:00:00.000Z', 'countryAcr': 'KAZ', 'country': {'name': 'Kazakhstan', 'acronym': 'KAZ'}}"
216,299,"{'id': 7348, 'name': 'Vladimir Uzhylovsky', 'birthday': '1988-03-25T00:00:00.000Z', 'countryAcr': 'UKR', 'country': {'name': 'Ukraine', 'acronym': 'UKR'}}"
215,300,"{'id': 37720, 'name': 'Constantin Bittoun Kouzmine', 'birthday': '1999-01-04T00:00:00.000Z', 'countryAcr': 'FRA', 'country': {'name': 'France', 'acronym': 'FRA'}}"
215,301,"{'id': 60323, 'name': 'Bruno Pujol Navarro', 'birthday': '2001-08-27T00:00:00.000Z', 'countryAcr': 'ESP', 'country': {'name': 'Spain', 'acronym': 'ESP'}}"
215,302,"{'id': 68301, 'name': 'Ryuki Matsuda', 'birthday': '1999-12-28T00:00:00.000Z', 'countryAcr': 'JPN', 'country': {'name': 'Japan', 'acronym': 'JPN'}}"
213,303,"{'id': 34349, 'name': 'Hady Habib', 'birthday': '1998-08-21T00:00:00.000Z', 'countryAcr': 'LIB', 'country': {'name': 'Lebanon', 'acronym': 'LIB'}}"
212,304,"{'id': 28108, 'name': 'Alexandre Muller', 'birthday': '1997-02-01T00:00:00.000Z', 'countryAcr': 'FRA', 'country': {'name': 'France', 'acronym': 'FRA'}}"
210,305,"{'id': 13429, 'name': 'Denis Kudla', 'birthday': '1992-08-17T00:00:00.000Z', 'countryAcr': 'USA', 'country': {'name': 'United States', 'acronym': 'USA'}}"
209,306,"{'id': 50000, 'name': 'Joao Lucas Reis Da Silva', 'birthday': '2000-03-26T00:00:00.000Z', 'countryAcr': 'BRA', 'country': {'name': 'Brazil', 'acronym': 'BRA'}}"
207,307,"{'id': 30104, 'name': 'Aleksandre Bakshi', 'birthday': '1997-07-15T00:00:00.000Z', 'countryAcr': 'GEO', 'country': {'name': 'Georgia', 'acronym': 'GEO'}}"
206,308,"{'id': 65383, 'name': 'Arklon Huertas Del Pino', 'birthday': '1994-07-16T00:00:00.000Z', 'countryAcr': 'PER', 'country': {'name': 'Peru', 'acronym': 'PER'}}"
205,309,"{'id': 31358, 'name': 'Jaume Antoni Munar Clar', 'birthday': '1997-05-05T00:00:00.000Z', 'countryAcr': 'ESP', 'country': {'name': 'Spain', 'acronym': 'ESP'}}"
205,310,"{'id': 27358, 'name': 'Pedro Martinez Portero', 'birthday': '1997-04-26T00:00:00.000Z', 'countryAcr': 'ESP', 'country': {'name': 'Spain', 'acronym': 'ESP'}}"
205,311,"{'id': 29937, 'name': 'Alex Rybakov', 'birthday': '1997-01-27T00:00:00.000Z', 'countryAcr': 'USA', 'country': {'name': 'United States', 'acronym': 'USA'}}"
204,312,"{'id': 28904, 'name': 'Vitaliy Sachko', 'birthday': '1997-07-14T00:00:00.000Z', 'countryAcr': 'UKR', 'country': {'name': 'Ukraine', 'acronym': 'UKR'}}"
203,313,"{'id': 29463, 'name': 'Aoran Wang', 'birthday': '1997-02-05T00:00:00.000Z', 'countryAcr': 'CHN', 'country': {'name': 'China', 'acronym': 'CHN'}}"
203,314,"{'id': 30367, 'name': 'Gabriel Roveri Sidney', 'birthday': '1997-04-27T00:00:00.000Z', 'countryAcr': 'BRA', 'country': {'name': 'Brazil', 'acronym': 'BRA'}}"
202,315,"{'id': 83105, 'name': 'Edward Winter', 'birthday': '2004-09-15T00:00:00.000Z', 'countryAcr': 'AUS', 'country': {'name': 'Australia', 'acronym': 'AUS'}}"
202,316,"{'id': 50133, 'name': 'Oliver Crawford', 'birthday': '1999-04-30T00:00:00.000Z', 'countryAcr': 'USA', 'country': {'name': 'United States', 'acronym': 'USA'}}"
202,317,"{'id': 58723, 'name': 'Franco Roncadelli', 'birthday': '2000-02-06T00:00:00.000Z', 'countryAcr': 'URU', 'country': {'name': 'Uruguay', 'acronym': 'URU'}}"
201,318,"{'id': 58999, 'name': 'Noah Schachter', 'birthday': '1999-09-06T00:00:00.000Z', 'countryAcr': 'USA', 'country': {'name': 'United States', 'acronym': 'USA'}}"
199,319,"{'id': 46749, 'name': 'Juan Carlos Manuel Aguilar', 'birthday': '1998-11-20T00:00:00.000Z', 'countryAcr': 'CAN', 'country': {'name': 'Canada', 'acronym': 'CAN'}}"
199,320,"{'id': 59355, 'name': 'Emile Hudd', 'birthday': '2000-05-27T00:00:00.000Z', 'countryAcr': 'GBR', 'country': {'name': 'Great Britain', 'acronym': 'GBR'}}"
196,321,"{'id': 67546, 'name': 'Flavio Cobolli', 'birthday': '2002-05-06T00:00:00.000Z', 'countryAcr': 'ITA', 'country': {'name': 'Italy', 'acronym': 'ITA'}}"
196,322,"{'id': 81784, 'name': 'Petr Nesterov', 'birthday': '2003-03-07T00:00:00.000Z', 'countryAcr': 'BUL', 'country': {'name': 'Bulgaria', 'acronym': 'BUL'}}"
194,323,"{'id': 70035, 'name': 'Woobin Shin', 'birthday': '2004-01-20T00:00:00.000Z', 'countryAcr': 'KOR', 'country': {'name': 'Korea, Rep.', 'acronym': 'KOR'}}"
193,324,"{'id': 16996, 'name': 'Yasutaka Uchiyama', 'birthday': '1992-08-05T00:00:00.000Z', 'countryAcr': 'JPN', 'country': {'name': 'Japan', 'acronym': 'JPN'}}"
193,325,"{'id': 32349, 'name': 'S D Prajwal Dev', 'birthday': '1996-05-27T00:00:00.000Z', 'countryAcr': 'IND', 'country': {'name': 'India', 'acronym': 'IND'}}"
193,326,"{'id': 37580, 'name': 'Leonardo Aboian', 'birthday': '1998-04-20T00:00:00.000Z', 'countryAcr': 'ARG', 'country': {'name': 'Argentina', 'acronym': 'ARG'}}"
191,327,"{'id': 48011, 'name': 'Patrick Zahraj', 'birthday': '1999-07-17T00:00:00.000Z', 'countryAcr': 'GER', 'country': {'name': 'Germany', 'acronym': 'GER'}}"
188,328,"{'id': 60140, 'name': 'Harold Mayot', 'birthday': '2002-02-04T00:00:00.000Z', 'countryAcr': 'FRA', 'country': {'name': 'France', 'acronym': 'FRA'}}"
188,329,"{'id': 6150, 'name': 'Divij Sharan', 'birthday': '1986-03-02T00:00:00.000Z', 'countryAcr': 'IND', 'country': {'name': 'India', 'acronym': 'IND'}}"
187,330,"{'id': 31335, 'name': 'Alberto Barroso Campos', 'birthday': '1996-06-04T00:00:00.000Z', 'countryAcr': 'ESP', 'country': {'name': 'Spain', 'acronym': 'ESP'}}"
187,331,"{'id': 34107, 'name': 'Tim Ruehl', 'birthday': '1998-03-31T00:00:00.000Z', 'countryAcr': 'GER', 'country': {'name': 'Germany', 'acronym': 'GER'}}"
185,332,"{'id': 26960, 'name': 'Colin Sinclair', 'birthday': '1994-12-19T00:00:00.000Z', 'countryAcr': 'AUS', 'country': {'name': 'Australia', 'acronym': 'AUS'}}"
184,333,"{'id': 9493, 'name': 'Christopher Rungkat', 'birthday': '1990-01-14T00:00:00.000Z', 'countryAcr': 'INA', 'country': {'name': 'Indonesia', 'acronym': 'INA'}}"
183,334,"{'id': 17972, 'name': 'Franco Agamenone', 'birthday': '1993-04-15T00:00:00.000Z', 'countryAcr': 'ITA', 'country': {'name': 'Italy', 'acronym': 'ITA'}}"
183,335,"{'id': 31562, 'name': 'Giovanni Oradini', 'birthday': '1997-09-14T00:00:00.000Z', 'countryAcr': 'ITA', 'country': {'name': 'Italy', 'acronym': 'ITA'}}"
183,336,"{'id': 71408, 'name': 'Pranav Kumar', 'birthday': '1999-08-31T00:00:00.000Z', 'countryAcr': 'USA', 'country': {'name': 'United States', 'acronym': 'USA'}}"
182,337,"{'id': 42990, 'name': 'Masamichi Imamura', 'birthday': '1998-11-23T00:00:00.000Z', 'countryAcr': 'JPN', 'country': {'name': 'Japan', 'acronym': 'JPN'}}"
180,338,"{'id': 22807, 'name': 'Daniil Medvedev', 'birthday': '1996-02-11T00:00:00.000Z', 'countryAcr': 'RUS', 'country': {'name': 'Russia', 'acronym': 'RUS'}}"
180,339,"{'id': 69471, 'name': 'Holger Rune', 'birthday': '2003-04-29T00:00:00.000Z', 'countryAcr': 'DEN', 'country': {'name': 'Denmark', 'acronym': 'DEN'}}"
180,340,"{'id': 47275, 'name': 'Jannik Sinner', 'birthday': '2001-08-16T00:00:00.000Z', 'countryAcr': 'ITA', 'country': {'name': 'Italy', 'acronym': 'ITA'}}"
180,341,"{'id': 27482, 'name': 'Nicolas Jarry', 'birthday': '1995-10-11T00:00:00.000Z', 'countryAcr': 'CHI', 'country': {'name': 'Chile', 'acronym': 'CHI'}}"
180,342,"{'id': 39309, 'name': 'Alex De Minaur', 'birthday': '1999-02-17T00:00:00.000Z', 'countryAcr': 'AUS', 'country': {'name': 'Australia', 'acronym': 'AUS'}}"
180,343,"{'id': 50386, 'name': 'Aidan Mchugh', 'birthday': '2000-07-09T00:00:00.000Z', 'countryAcr': 'GBR', 'country': {'name': 'Great Britain', 'acronym': 'GBR'}}"
179,344,"{'id': 72578, 'name': 'Mattia Bellucci', 'birthday': '2001-06-01T00:00:00.000Z', 'countryAcr': 'ITA', 'country': {'name': 'Italy', 'acronym': 'ITA'}}"
178,345,"{'id': 82269, 'name': 'Ethan Quinn', 'birthday': '2004-03-12T00:00:00.000Z', 'countryAcr': 'USA', 'country': {'name': 'United States', 'acronym': 'USA'}}"
178,346,"{'id': 50143, 'name': 'Rio Noguchi', 'birthday': '1998-12-28T00:00:00.000Z', 'countryAcr': 'JPN', 'country': {'name': 'Japan', 'acronym': 'JPN'}}"
177,347,"{'id': 23082, 'name': 'David Poljak', 'birthday': '1996-05-17T00:00:00.000Z', 'countryAcr': 'CZE', 'country': {'name': 'Czech Republic', 'acronym': 'CZE'}}"
176,348,"{'id': 27205, 'name': 'Murkel Alejandro Dellien Velasco', 'birthday': '1997-09-16T00:00:00.000Z', 'countryAcr': 'BOL', 'country': {'name': 'Bolivia', 'acronym': 'BOL'}}"
175,349,"{'id': 25171, 'name': 'Quentin Halys', 'birthday': '1996-10-26T00:00:00.000Z', 'countryAcr': 'FRA', 'country': {'name': 'France', 'acronym': 'FRA'}}"
175,350,"{'id': 73268, 'name': 'Valerio Aboian', 'birthday': '2002-06-14T00:00:00.000Z', 'countryAcr': 'ARG', 'country': {'name': 'Argentina', 'acronym': 'ARG'}}"
174,351,"{'id': 65558, 'name': 'Harry Wendelken', 'birthday': '2001-12-18T00:00:00.000Z', 'countryAcr': 'GBR', 'country': {'name': 'Great Britain', 'acronym': 'GBR'}}"
171,352,"{'id': 76127, 'name': 'Luciano Darderi', 'birthday': '2002-02-14T00:00:00.000Z', 'countryAcr': 'ITA', 'country': {'name': 'Italy', 'acronym': 'ITA'}}"
171,353,"{'id': 46164, 'name': 'Tsung-Hao Huang', 'birthday': '1999-11-22T00:00:00.000Z', 'countryAcr': 'TPE', 'country': {'name': 'Chinese Taipei', 'acronym': 'TPE'}}"
170,354,"{'id': 38911, 'name': 'Ugo Humbert', 'birthday': '1998-06-26T00:00:00.000Z', 'countryAcr': 'FRA', 'country': {'name': 'France', 'acronym': 'FRA'}}"
169,355,"{'id': 36878, 'name': 'Jody Maginley', 'birthday': '1995-06-07T00:00:00.000Z', 'countryAcr': 'ANT', 'country': {'name': 'Antigua-Barbuda', 'acronym': 'ANT'}}"
167,356,"{'id': 85523, 'name': 'Gabriel Debru', 'birthday': '2005-12-21T00:00:00.000Z', 'countryAcr': 'FRA', 'country': {'name': 'France', 'acronym': 'FRA'}}"
167,357,"{'id': 31115, 'name': 'Adam Taylor', 'birthday': '1991-06-23T00:00:00.000Z', 'countryAcr': 'AUS', 'country': {'name': 'Australia', 'acronym': 'AUS'}}"
166,358,"{'id': 71174, 'name': 'Giovanni Mpetshi Perricard', 'birthday': '2003-07-08T00:00:00.000Z', 'countryAcr': 'FRA', 'country': {'name': 'France', 'acronym': 'FRA'}}"
165,359,"{'id': 50519, 'name': 'Adil Kalyanpur', 'birthday': '2000-01-26T00:00:00.000Z', 'countryAcr': 'IND', 'country': {'name': 'India', 'acronym': 'IND'}}"
164,360,"{'id': 72574, 'name': 'Martin Damm', 'birthday': '2003-09-30T00:00:00.000Z', 'countryAcr': 'USA', 'country': {'name': 'United States', 'acronym': 'USA'}}"
163,361,"{'id': 32703, 'name': 'Gijs Brouwer', 'birthday': '1996-03-14T00:00:00.000Z', 'countryAcr': 'NED', 'country': {'name': 'Netherlands', 'acronym': 'NED'}}"
163,362,"{'id': 90924, 'name': 'Jan Hrazdil', 'birthday': '2005-03-04T00:00:00.000Z', 'countryAcr': 'CZE', 'country': {'name': 'Czech Republic', 'acronym': 'CZE'}}"
162,363,"{'id': 53726, 'name': 'Cezar Cretu', 'birthday': '2001-04-24T00:00:00.000Z', 'countryAcr': 'ROU', 'country': {'name': 'Romania', 'acronym': 'ROU'}}"
162,364,"{'id': 69838, 'name': 'Eric Vanshelboim', 'birthday': '2001-07-15T00:00:00.000Z', 'countryAcr': 'UKR', 'country': {'name': 'Ukraine', 'acronym': 'UKR'}}"
160,365,"{'id': 37055, 'name': 'Mats Hermans', 'birthday': '1996-04-06T00:00:00.000Z', 'countryAcr': 'NED', 'country': {'name': 'Netherlands', 'acronym': 'NED'}}"
159,366,"{'id': 45197, 'name': 'Jie Cui', 'birthday': '1998-01-24T00:00:00.000Z', 'countryAcr': 'CHN', 'country': {'name': 'China', 'acronym': 'CHN'}}"
159,367,"{'id': 27114, 'name': 'Jake Delaney', 'birthday': '1997-05-14T00:00:00.000Z', 'countryAcr': 'AUS', 'country': {'name': 'Australia', 'acronym': 'AUS'}}"
158,368,"{'id': 12498, 'name': 'Andrea Collarini', 'birthday': '1992-01-31T00:00:00.000Z', 'countryAcr': 'ARG', 'country': {'name': 'Argentina', 'acronym': 'ARG'}}"
158,369,"{'id': 36114, 'name': 'Moez Echargui', 'birthday': '1993-01-10T00:00:00.000Z', 'countryAcr': 'TUN', 'country': {'name': 'Tunisia', 'acronym': 'TUN'}}"
158,370,"{'id': 38273, 'name': 'Javier Barranco Cosano', 'birthday': '1998-11-17T00:00:00.000Z', 'countryAcr': 'ESP', 'country': {'name': 'Spain', 'acronym': 'ESP'}}"
158,371,"{'id': 38463, 'name': 'Louis Wessels', 'birthday': '1998-08-27T00:00:00.000Z', 'countryAcr': 'GER', 'country': {'name': 'Germany', 'acronym': 'GER'}}"
158,372,"{'id': 45050, 'name': 'Niklas Schell', 'birthday': '1999-01-03T00:00:00.000Z', 'countryAcr': 'GER', 'country': {'name': 'Germany', 'acronym': 'GER'}}"
156,373,"{'id': 80183, 'name': 'Marat Sharipov (RUS)', 'birthday': '2002-10-09T00:00:00.000Z', 'countryAcr': 'RUS', 'country': {'name': 'Russia', 'acronym': 'RUS'}}"
156,374,"{'id': 83678, 'name': 'Sai Karteek Reddy Ganta', 'birthday': '2000-06-01T00:00:00.000Z', 'countryAcr': 'IND', 'country': {'name': 'India', 'acronym': 'IND'}}"
154,375,"{'id': 44990, 'name': 'Michiel De Krom', 'birthday': '1998-06-27T00:00:00.000Z', 'countryAcr': 'NED', 'country': {'name': 'Netherlands', 'acronym': 'NED'}}"
153,376,"{'id': 47387, 'name': 'August Holmgren', 'birthday': '1998-04-22T00:00:00.000Z', 'countryAcr': 'DEN', 'country': {'name': 'Denmark', 'acronym': 'DEN'}}"
153,377,"{'id': 3492, 'name': 'Denis Istomin', 'birthday': '1986-09-07T00:00:00.000Z', 'countryAcr': 'UZB', 'country': {'name': 'Uzbekistan', 'acronym': 'UZB'}}"
151,378,"{'id': 39863, 'name': 'Sho Shimabukuro', 'birthday': '1997-07-30T00:00:00.000Z', 'countryAcr': 'JPN', 'country': {'name': 'Japan', 'acronym': 'JPN'}}"
151,379,"{'id': 76298, 'name': 'Jerome Kym', 'birthday': '2003-02-12T00:00:00.000Z', 'countryAcr': 'SUI', 'country': {'name': 'Switzerland', 'acronym': 'SUI'}}"
151,380,"{'id': 30743, 'name': 'Eero Vasa', 'birthday': '1997-02-01T00:00:00.000Z', 'countryAcr': 'FIN', 'country': {'name': 'Finland', 'acronym': 'FIN'}}"
151,381,"{'id': 84226, 'name': 'Thijmen Loof', 'birthday': '2002-07-15T00:00:00.000Z', 'countryAcr': 'NED', 'country': {'name': 'Netherlands', 'acronym': 'NED'}}"
150,382,"{'id': 19689, 'name': 'Alex Bolt', 'birthday': '1993-01-05T00:00:00.000Z', 'countryAcr': 'AUS', 'country': {'name': 'Australia', 'acronym': 'AUS'}}"
150,383,"{'id': 97369, 'name': 'Joel Schwaerzler', 'birthday': '2006-01-27T00:00:00.000Z', 'countryAcr': 'AUT', 'country': {'name': 'Austria', 'acronym': 'AUT'}}"
148,384,"{'id': 89085, 'name': 'Mateo Del Pino', 'birthday': '2003-06-28T00:00:00.000Z', 'countryAcr': 'ARG', 'country': {'name': 'Argentina', 'acronym': 'ARG'}}"
147,385,"{'id': 98265, 'name': 'Alejo Sanchez Quilez', 'birthday': '2005-06-25T00:00:00.000Z', 'countryAcr': 'ESP', 'country': {'name': 'Spain', 'acronym': 'ESP'}}"
146,386,"{'id': 32379, 'name': 'Nicholas Bybel', 'birthday': '1993-10-25T00:00:00.000Z', 'countryAcr': 'USA', 'country': {'name': 'United States', 'acronym': 'USA'}}"
146,387,"{'id': 64916, 'name': 'Matheus Pucinelli De Almeida', 'birthday': '2001-04-01T00:00:00.000Z', 'countryAcr': 'BRA', 'country': {'name': 'Brazil', 'acronym': 'BRA'}}"
145,388,"{'id': 35297, 'name': 'Marc-Andrea Huesler', 'birthday': '1996-06-24T00:00:00.000Z', 'countryAcr': 'SUI', 'country': {'name': 'Switzerland', 'acronym': 'SUI'}}"
145,389,"{'id': 34968, 'name': 'Nicolas Mejia', 'birthday': '2000-02-11T00:00:00.000Z', 'countryAcr': 'COL', 'country': {'name': 'Colombia', 'acronym': 'COL'}}"
144,390,"{'id': 66217, 'name': 'Pavel Verbin', 'birthday': '2001-10-18T00:00:00.000Z', 'countryAcr': 'RUS', 'country': {'name': 'Russia', 'acronym': 'RUS'}}"
144,391,"{'id': 29773, 'name': 'Mark Whitehouse', 'birthday': '1993-05-01T00:00:00.000Z', 'countryAcr': 'GBR', 'country': {'name': 'Great Britain', 'acronym': 'GBR'}}"
143,392,"{'id': 54365, 'name': 'Luca Potenza', 'birthday': '2000-07-28T00:00:00.000Z', 'countryAcr': 'ITA', 'country': {'name': 'Italy', 'acronym': 'ITA'}}"
143,393,"{'id': 25451, 'name': 'Juan Pablo Paz', 'birthday': '1995-01-04T00:00:00.000Z', 'countryAcr': 'ARG', 'country': {'name': 'Argentina', 'acronym': 'ARG'}}"
142,394,"{'id': 55642, 'name': 'Niccolo Catini', 'birthday': '1997-12-09T00:00:00.000Z', 'countryAcr': 'ITA', 'country': {'name': 'Italy', 'acronym': 'ITA'}}"
141,395,"{'id': 64632, 'name': 'Justin Boulais', 'birthday': '2001-10-20T00:00:00.000Z', 'countryAcr': 'CAN', 'country': {'name': 'Canada', 'acronym': 'CAN'}}"
141,396,"{'id': 33284, 'name': 'Nicolas Moreno De Alboran', 'birthday': '1997-07-14T00:00:00.000Z', 'countryAcr': 'ESP', 'country': {'name': 'Spain', 'acronym': 'ESP'}}"
141,397,"{'id': 18338, 'name': 'Mikelis Libietis', 'birthday': '1992-07-09T00:00:00.000Z', 'countryAcr': 'LAT', 'country': {'name': 'Latvia', 'acronym': 'LAT'}}"
140,398,"{'id': 23142, 'name': 'Dmitry Popko', 'birthday': '1996-10-24T00:00:00.000Z', 'countryAcr': 'KAZ', 'country': {'name': 'Kazakhstan', 'acronym': 'KAZ'}}"
140,399,"{'id': 18348, 'name': 'Pedro Sakamoto', 'birthday': '1993-06-29T00:00:00.000Z', 'countryAcr': 'BRA', 'country': {'name': 'Brazil', 'acronym': 'BRA'}}"
139,400,"{'id': 59443, 'name': 'Hamish Stewart', 'birthday': '1999-07-30T00:00:00.000Z', 'countryAcr': 'GBR', 'country': {'name': 'Great Britain', 'acronym': 'GBR'}}"
138,401,"{'id': 68094, 'name': 'James Mackinlay', 'birthday': '2000-08-11T00:00:00.000Z', 'countryAcr': 'GBR', 'country': {'name': 'Great Britain', 'acronym': 'GBR'}}"
137,402,"{'id': 19877, 'name': 'Jea Moon Lee', 'birthday': '1993-07-02T00:00:00.000Z', 'countryAcr': 'KOR', 'country': {'name': 'Korea, Rep.', 'acronym': 'KOR'}}"
137,403,"{'id': 55657, 'name': 'Lorenzo Rottoli', 'birthday': '2002-02-19T00:00:00.000Z', 'countryAcr': 'ITA', 'country': {'name': 'Italy', 'acronym': 'ITA'}}"
136,404,"{'id': 71419, 'name': 'Pedro Araujo', 'birthday': '2002-03-26T00:00:00.000Z', 'countryAcr': 'POR', 'country': {'name': 'Portugal', 'acronym': 'POR'}}"
136,405,"{'id': 38549, 'name': 'Nitin Kumar Sinha', 'birthday': '1999-02-20T00:00:00.000Z', 'countryAcr': 'IND', 'country': {'name': 'India', 'acronym': 'IND'}}"
135,406,"{'id': 59092, 'name': 'Titouan Droguet', 'birthday': '2001-06-15T00:00:00.000Z', 'countryAcr': 'FRA', 'country': {'name': 'France', 'acronym': 'FRA'}}"
135,407,"{'id': 66828, 'name': 'Mariano Navone', 'birthday': '2001-02-27T00:00:00.000Z', 'countryAcr': 'ARG', 'country': {'name': 'Argentina', 'acronym': 'ARG'}}"
135,408,"{'id': 33648, 'name': 'Casper Ruud', 'birthday': '1998-12-22T00:00:00.000Z', 'countryAcr': 'NOR', 'country': {'name': 'Norway', 'acronym': 'NOR'}}"
135,409,"{'id': 18720, 'name': 'Federico Coria', 'birthday': '1992-03-09T00:00:00.000Z', 'countryAcr': 'ARG', 'country': {'name': 'Argentina', 'acronym': 'ARG'}}"
135,410,"{'id': 36858, 'name': 'Thiago Seyboth Wild', 'birthday': '2000-03-10T00:00:00.000Z', 'countryAcr': 'BRA', 'country': {'name': 'Brazil', 'acronym': 'BRA'}}"
135,411,"{'id': 82696, 'name': 'Maximus Jones', 'birthday': '2004-09-05T00:00:00.000Z', 'countryAcr': 'THA', 'country': {'name': 'Thailand', 'acronym': 'THA'}}"
135,412,"{'id': 73241, 'name': 'Niels Visker', 'birthday': '2001-10-05T00:00:00.000Z', 'countryAcr': 'NED', 'country': {'name': 'Netherlands', 'acronym': 'NED'}}"
132,413,"{'id': 25795, 'name': 'Dominik Kellovsky', 'birthday': '1996-07-24T00:00:00.000Z', 'countryAcr': 'CZE', 'country': {'name': 'Czech Republic', 'acronym': 'CZE'}}"
132,414,"{'id': 99969, 'name': 'Yanis Ghazouani Durand', 'birthday': '2000-07-04T00:00:00.000Z', 'countryAcr': 'FRA', 'country': {'name': 'France', 'acronym': 'FRA'}}"
131,415,"{'id': 44209, 'name': 'Sandro Kopp', 'birthday': '2000-05-26T00:00:00.000Z', 'countryAcr': 'AUT', 'country': {'name': 'Austria', 'acronym': 'AUT'}}"
131,416,"{'id': 66662, 'name': 'Tomas Farjat', 'birthday': '2001-02-15T00:00:00.000Z', 'countryAcr': 'ARG', 'country': {'name': 'Argentina', 'acronym': 'ARG'}}"
130,417,"{'id': 84230, 'name': 'Szymon Kielan', 'birthday': '2002-11-21T00:00:00.000Z', 'countryAcr': 'POL', 'country': {'name': 'Poland', 'acronym': 'POL'}}"
130,418,"{'id': 89099, 'name': 'Joao Eduardo Schiessl', 'birthday': '2004-08-19T00:00:00.000Z', 'countryAcr': 'BRA', 'country': {'name': 'Brazil', 'acronym': 'BRA'}}"
130,419,"{'id': 54761, 'name': 'Francisco Rocha', 'birthday': '1999-10-04T00:00:00.000Z', 'countryAcr': 'POR', 'country': {'name': 'Portugal', 'acronym': 'POR'}}"
130,420,"{'id': 26942, 'name': 'Bogdan Bobrov', 'birthday': '1997-09-16T00:00:00.000Z', 'countryAcr': 'RUS', 'country': {'name': 'Russia', 'acronym': 'RUS'}}"
127,421,"{'id': 20548, 'name': 'Min-Kyu Song', 'birthday': '1990-08-25T00:00:00.000Z', 'countryAcr': 'KOR', 'country': {'name': 'Korea, Rep.', 'acronym': 'KOR'}}"
127,422,"{'id': 62046, 'name': 'Taisei Ichikawa', 'birthday': '2000-12-21T00:00:00.000Z', 'countryAcr': 'JPN', 'country': {'name': 'Japan', 'acronym': 'JPN'}}"
127,423,"{'id': 91863, 'name': 'Loann Massard', 'birthday': '2005-07-27T00:00:00.000Z', 'countryAcr': 'FRA', 'country': {'name': 'France', 'acronym': 'FRA'}}"
126,424,"{'id': 44595, 'name': 'Ugo Blanchet', 'birthday': '1999-01-05T00:00:00.000Z', 'countryAcr': 'FRA', 'country': {'name': 'France', 'acronym': 'FRA'}}"
126,425,"{'id': 8049, 'name': 'Ruben Gonzales', 'birthday': '1985-09-11T00:00:00.000Z', 'countryAcr': 'PHI', 'country': {'name': 'Philippines', 'acronym': 'PHI'}}"
126,426,"{'id': 81601, 'name': 'Yanaki Milev', 'birthday': '2004-04-15T00:00:00.000Z', 'countryAcr': 'BUL', 'country': {'name': 'Bulgaria', 'acronym': 'BUL'}}"
125,427,"{'id': 52394, 'name': 'Thiago Agustin Tirante', 'birthday': '2001-04-10T00:00:00.000Z', 'countryAcr': 'ARG', 'country': {'name': 'Argentina', 'acronym': 'ARG'}}"
125,428,"{'id': 28170, 'name': 'Arthur Rinderknech', 'birthday': '1995-07-23T00:00:00.000Z', 'countryAcr': 'FRA', 'country': {'name': 'France', 'acronym': 'FRA'}}"
125,429,"{'id': 71812, 'name': 'Simone Agostini', 'birthday': '1997-03-29T00:00:00.000Z', 'countryAcr': 'ITA', 'country': {'name': 'Italy', 'acronym': 'ITA'}}"
125,430,"{'id': 36211, 'name': 'Jesse Delaney', 'birthday': '1998-11-14T00:00:00.000Z', 'countryAcr': 'AUS', 'country': {'name': 'Australia', 'acronym': 'AUS'}}"
124,431,"{'id': 18669, 'name': 'David Jorda Sanchis', 'birthday': '1994-06-14T00:00:00.000Z', 'countryAcr': 'ESP', 'country': {'name': 'Spain', 'acronym': 'ESP'}}"
